SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s10
Step 65 | Stack: [0, 17, 17, 17, 17, 17, 9, 21, 41] | Lookahead: SEMI | Action: s68
Step 66 | Stack: [0, 17, 17, 17, 17, 17, 9, 21, 41, 68] | Lookahead: ID | Action: r16
Step 67 | Stack: [0, 17, 17, 17, 17, 17, 14] | Lookahead: ID | Action: r5
Step 68 | Stack: [0, 17, 17, 17, 17, 17, 17] | Lookahead: ID | Action: s9
Step 69 | Stack: [0, 17, 17, 17, 17, 17, 17, 9] | Lookahead: ASSIGN | Action: s21
Step 70 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21] | Lookahead: INT | Action: s36
Step 71 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 36] | Lookahead: SEMI | Action: r33
Step 72 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 35] | Lookahead: SEMI | Action: r30
Step 73 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 35, 59] | Lookahead: SEMI | Action: r26
Step 74 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 31] | Lookahead: SEMI | Action: r25
Step 75 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 31, 47] | Lookahead: SEMI | Action: r22
Step 76 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 41] | Lookahead: SEMI | Action: s68
Step 77 | Stack: [0, 17, 17, 17, 17, 17, 17, 9, 21, 41, 68] | Lookahead: WHILE | Action: r16
Step 78 | Stack: [0, 17, 17, 17, 17, 17, 17, 14] | Lookahead: WHILE | Action: r5
Step 79 | Stack: [0, 17, 17, 17, 17, 17, 17, 17] | Lookahead: WHILE | Action: s7
Step 80 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7] | Lookahead: LPAREN | Action: s20
Step 81 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20] | Lookahead: ID | Action: s34
Step 82 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 34] | Lookahead: LT | Action: r32
