SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s14
Step 2 | Stack: [0, 14] | Lookahead: ID | Action: r13
Step 3 | Stack: [0, 13] | Lookahead: ID | Action: s21
Step 4 | Stack: [0, 13, 21] | Lookahead: SEMI | Action: s42
Step 5 | Stack: [0, 13, 21, 42] | Lookahead: INT | Action: r12
Step 6 | Stack: [0, 13, 21, 41] | Lookahead: INT | Action: r10
Step 7 | Stack: [0, 3] | Lookahead: INT | Action: r4
Step 8 | Stack: [0, 15] | Lookahead: INT | Action: s14
Step 9 | Stack: [0, 15, 14] | Lookahead: ID | Action: r13
Step 10 | Stack: [0, 15, 13] | Lookahead: ID | Action: s21
Step 11 | Stack: [0, 15, 13, 21] | Lookahead: SEMI | Action: s42
Step 12 | Stack: [0, 15, 13, 21, 42] | Lookahead: INT | Action: r12
Step 13 | Stack: [0, 15, 13, 21, 41] | Lookahead: INT | Action: r10
Step 14 | Stack: [0, 15, 3] | Lookahead: INT | Action: r4
Step 15 | Stack: [0, 15, 15] | Lookahead: INT | Action: s14
Step 16 | Stack: [0, 15, 15, 14] | Lookahead: ID | Action: r13
Step 17 | Stack: [0, 15, 15, 13] | Lookahead: ID | Action: s21
Step 18 | Stack: [0, 15, 15, 13, 21] | Lookahead: SEMI | Action: s42
Step 19 | Stack: [0, 15, 15, 13, 21, 42] | Lookahead: FLOAT | Action: r12
Step 20 | Stack: [0, 15, 15, 13, 21, 41] | Lookahead: FLOAT | Action: r10
Step 21 | Stack: [0, 15, 15, 3] | Lookahead: FLOAT | Action: r4
Step 22 | Stack: [0, 15, 15, 15] | Lookahead: FLOAT | Action: s6
Step 23 | Stack: [0, 15, 15, 15, 6] | Lookahead: ID | Action: r14
Step 24 | Stack: [0, 15, 15, 15, 13] | Lookahead: ID | Action: s21
Step 25 | Stack: [0, 15, 15, 15, 13, 21] | Lookahead: SEMI | Action: s42
Step 26 | Stack: [0, 15, 15, 15, 13, 21, 42] | Lookahead: ID | Action: r12
Step 27 | Stack: [0, 15, 15, 15, 13, 21, 41] | Lookahead: ID | Action: r10
Step 28 | Stack: [0, 15, 15, 15, 3] | Lookahead: ID | Action: r4
Step 29 | Stack: [0, 15, 15, 15, 15] | Lookahead: ID | Action: s17
Step 30 | Stack: [0, 15, 15, 15, 15, 17] | Lookahead: ASSIGN | Action: s24
Step 31 | Stack: [0, 15, 15, 15, 15, 17, 24] | Lookahead: INT | Action: s29
Step 32 | Stack: [0, 15, 15, 15, 15, 17, 24, 29] | Lookahead: MULT | Action: r33
Step 33 | Stack: [0, 15, 15, 15, 15, 17, 24, 28] | Lookahead: MULT | Action: s52
Step 34 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52] | Lookahead: LPAREN | Action: s30
Step 35 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30] | Lookahead: INT | Action: s29
Step 36 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 29] | Lookahead: PLUS | Action: r33
Step 37 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 28] | Lookahead: PLUS | Action: r30
Step 38 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 28, 49] | Lookahead: PLUS | Action: r26
Step 39 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27] | Lookahead: PLUS | Action: s47
Step 40 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 47] | Lookahead: INT | Action: s29
Step 41 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 47, 29] | Lookahead: RPAREN | Action: r33
Step 42 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 47, 28] | Lookahead: RPAREN | Action: r30
Step 43 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 47, 28, 49] | Lookahead: RPAREN | Action: r26
Step 44 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 47, 74] | Lookahead: RPAREN | Action: r25
Step 45 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 47, 74, 87] | Lookahead: RPAREN | Action: r23
Step 46 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 27, 48] | Lookahead: RPAREN | Action: r22
Step 47 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 53] | Lookahead: RPAREN | Action: s78
Step 48 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 30, 53, 78] | Lookahead: SEMI | Action: r31
Step 49 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 77] | Lookahead: SEMI | Action: r30
Step 50 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 52, 77, 90] | Lookahead: SEMI | Action: r27
Step 51 | Stack: [0, 15, 15, 15, 15, 17, 24, 28, 49] | Lookahead: SEMI | Action: r26
Step 52 | Stack: [0, 15, 15, 15, 15, 17, 24, 27] | Lookahead: SEMI | Action: r25
Step 53 | Stack: [0, 15, 15, 15, 15, 17, 24, 27, 48] | Lookahead: SEMI | Action: r22
Step 54 | Stack: [0, 15, 15, 15, 15, 17, 24, 44] | Lookahead: SEMI | Action: s71
Step 55 | Stack: [0, 15, 15, 15, 15, 17, 24, 44, 71] | Lookahead: ID | Action: r16
Step 56 | Stack: [0, 15, 15, 15, 15, 7] | Lookahead: ID | Action: r5
Step 57 | Stack: [0, 15, 15, 15, 15, 15] | Lookahead: ID | Action: s17
Step 58 | Stack: [0, 15, 15, 15, 15, 15, 17] | Lookahead: ASSIGN | Action: s24
Step 59 | Stack: [0, 15, 15, 15, 15, 15, 17, 24] | Lookahead: INT | Action: s29
Step 60 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 29] | Lookahead: SEMI | Action: r33
Step 61 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 28] | Lookahead: SEMI | Action: r30
Step 62 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 28, 49] | Lookahead: SEMI | Action: r26
Step 63 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 27] | Lookahead: SEMI | Action: r25
Step 64 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 27, 48] | Lookahead: SEMI | Action: r22
Step 65 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 44] | Lookahead: SEMI | Action: s71
Step 66 | Stack: [0, 15, 15, 15, 15, 15, 17, 24, 44, 71] | Lookahead: ID | Action: r16
Step 67 | Stack: [0, 15, 15, 15, 15, 15, 7] | Lookahead: ID | Action: r5
Step 68 | Stack: [0, 15, 15, 15, 15, 15, 15] | Lookahead: ID | Action: s17
Step 69 | Stack: [0, 15, 15, 15, 15, 15, 15, 17] | Lookahead: ASSIGN | Action: s24
Step 70 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24] | Lookahead: INT | Action: s29
Step 71 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 29] | Lookahead: SEMI | Action: r33
Step 72 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 28] | Lookahead: SEMI | Action: r30
Step 73 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 28, 49] | Lookahead: SEMI | Action: r26
Step 74 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 27] | Lookahead: SEMI | Action: r25
Step 75 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 27, 48] | Lookahead: SEMI | Action: r22
Step 76 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 44] | Lookahead: SEMI | Action: s71
Step 77 | Stack: [0, 15, 15, 15, 15, 15, 15, 17, 24, 44, 71] | Lookahead: WHILE | Action: r16
Step 78 | Stack: [0, 15, 15, 15, 15, 15, 15, 7] | Lookahead: WHILE | Action: r5
Step 79 | Stack: [0, 15, 15, 15, 15, 15, 15, 15] | Lookahead: WHILE | Action: s11
Step 80 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11] | Lookahead: LPAREN | Action: s19
Step 81 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19] | Lookahead: ID | Action: s31
Step 82 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 31] | Lookahead: LT | Action: r32
Step 83 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 28] | Lookahead: LT | Action: r30
Step 84 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 28, 49] | Lookahead: LT | Action: r26
Step 85 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 27] | Lookahead: LT | Action: r25
Step 86 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 27, 48] | Lookahead: LT | Action: r22
Step 87 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34] | Lookahead: LT | Action: s57
Step 88 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 57] | Lookahead: ID | Action: r45
Step 89 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59] | Lookahead: ID | Action: s31
Step 90 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59, 31] | Lookahead: AND | Action: r32
Step 91 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59, 28] | Lookahead: AND | Action: r30
Step 92 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59, 28, 49] | Lookahead: AND | Action: r26
Step 93 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59, 27] | Lookahead: AND | Action: r25
Step 94 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59, 27, 48] | Lookahead: AND | Action: r22
Step 95 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 34, 59, 80] | Lookahead: AND | Action: r44
Step 96 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 32] | Lookahead: AND | Action: r42
Step 97 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36] | Lookahead: AND | Action: s64
Step 98 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64] | Lookahead: ID | Action: s31
Step 99 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 31] | Lookahead: NE | Action: r32
Step 100 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 28] | Lookahead: NE | Action: r30
Step 101 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 28, 49] | Lookahead: NE | Action: r26
Step 102 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 27] | Lookahead: NE | Action: r25
Step 103 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 27, 48] | Lookahead: NE | Action: r22
Step 104 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34] | Lookahead: NE | Action: s58
Step 105 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 58] | Lookahead: INT | Action: r50
Step 106 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59] | Lookahead: INT | Action: s29
Step 107 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59, 29] | Lookahead: RPAREN | Action: r33
Step 108 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59, 28] | Lookahead: RPAREN | Action: r30
Step 109 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59, 28, 49] | Lookahead: RPAREN | Action: r26
Step 110 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59, 27] | Lookahead: RPAREN | Action: r25
Step 111 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59, 27, 48] | Lookahead: RPAREN | Action: r22
Step 112 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 34, 59, 80] | Lookahead: RPAREN | Action: r44
Step 113 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 32] | Lookahead: RPAREN | Action: r42
Step 114 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 82] | Lookahead: RPAREN | Action: r40
Step 115 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 64, 82, 92] | Lookahead: RPAREN | Action: r39
Step 116 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 36, 65] | Lookahead: RPAREN | Action: r38
Step 117 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 33] | Lookahead: RPAREN | Action: r37
Step 118 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 33, 55] | Lookahead: RPAREN | Action: r35
Step 119 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35] | Lookahead: RPAREN | Action: s63
